section,subsection,shapefile,heading,lookup_value,intensity,image,text
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,48,50,,"You are not far (~5mi) from the Mission fault that runs along the Mission Mountains. You could feel shaking in the future since small earthquakes have happened near here in 2011, 2000, and 1997."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,47,50,,"You are not far (~5mi) from the Mission fault that runs along the Mission Mountains. You could feel shaking in the future since small earthquakes have happened near here in 2011, 2000, and 1997."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,46,50,,You are not far (~5mi) from the Ninemile le fault that runs from Missoula along Ninemile Creek for 43 miles. You could feel shaking in the future since small earthquakes have happened near here in the past.
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,45,50,,"You are not far (~5mi) from the Jocko fault that runs from Big Knife creek to Finley Creek. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,44,60,,"You are not far (~4mi) from a fault near Ovando, MT. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,43,60,,You are not far (~4mi) from the Swan fault that runs along the Swan Range. You could feel shaking in the future since small earthquakes have happened near here in the past.
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,42,60,,You are not far (~4mi) from the Ninemile le fault that runs from Missoula along Ninemile Creek for 43 miles. You could feel shaking in the future since small earthquakes have happened near here in the past.
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,41,60,,"You are not far (~4mi) from the Jocko fault that runs from Big Knife creek to Finley Creek. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,40,70,,"You are near (~3mi) a fault near Ovando, MT. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,39,70,,You are near (~3mi) the Swan fault that runs along the Swan Range. You could feel shaking in the future since small earthquakes have happened near here in the past.
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,38,70,,You are near (~3mi) the Ninemile le fault that runs from Missoula along Ninemile Creek for 43 miles. You could feel shaking in the future since small earthquakes have happened near here in the past.
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,37,70,,"You are near (~3mi) the Jocko fault that runs from Big Knife creek to Finley Creek. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,36,90,,"You are very close (~1mi) to a fault near Ovando, MT. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,35,90,,You are very close (~1mi) to the Swan fault that runs along the Swan Range. You could feel shaking in the future since small earthquakes have happened near here in the past.
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,34,80,,"You are close (~2mi) to a fault near Ovando, MT. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,33,80,,You are close (~2mi) to the Swan fault that runs along the Swan Range. You could feel shaking in the future since small earthquakes have happened near here in the past.
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,32,80,,You are close (~2mi) to the Ninemile le fault that runs from Missoula along Ninemile Creek for 43 miles. You could feel shaking in the future since small earthquakes have happened near here in the past.
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,31,80,,"You are close (~2mi) to the Jocko fault that runs from Big Knife creek to Finley Creek. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,30,80,,"You are close (~2mi) to the Bitterroot fault. Scientists think this fault slips without creating ground shaking, but since the earthquake record is short, you could feel an earthquake in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,29,20,,"You are a fair distance, farther than 5mi, from the nearest active fault. This means that if an earthquake happens you will feel less shaking than those closer to the fault. "
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,28,50,,"You are not far (~5mi) from a fault near Ovando, MT. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,27,50,,You are not far (~5mi) from the Swan fault that runs along the Swan Range. You could feel shaking in the future since small earthquakes have happened near here in the past.
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,26,50,,You are not far (~5mi) from the Ninemile fault that runs from Missoula along Ninemile Creek for 43 miles. You could feel shaking in the future since small earthquakes have happened near here in the past.
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,25,50,,"You are not far (~5mi) from the Mission fault that runs along the Mission Mountains. You could feel shaking in the future since small earthquakes have happened near here in 2011, 2000, and 1997."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,24,50,,"You are not far (~5mi) from the Mission fault that runs along the Mission Mountains. You could feel shaking in the future since small earthquakes have happened near here in 2011, 2000, and 1997."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,23,50,,"You are not far (~5mi) from the Jocko fault that runs from Big Knife creek to Finley Creek. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,22,20,,"You are a fair distance, farther than 5 miles, from the nearest active fault. This means that if an earthquake happens you will feel less shaking than those closer to the fault. "
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,21,50,,"You are not far (~5mi) from the Bitterroot fault. Scientists think this fault slips without creating ground shaking, but since the earthquake record is short, you could feel an earthquake in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,20,60,,"You are not far (~4mi) from a fault near Ovando, MT. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,19,60,,You are not far (~4mi) from the Swan fault that runs along the Swan Range. You could feel shaking in the future since small earthquakes have happened near here in the past.
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,18,60,,You are not far (~4mi) from the Ninemile fault that runs from Missoula along Ninemile Creek for 43 miles. You could feel shaking in the future since small earthquakes have happened near here in the past.
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,17,60,,"You are not far (~4mi) from the Mission fault that runs along the Mission Mountains. You could feel shaking in the future since small earthquakes have happened near here in 2011, 2000, and 1997."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,16,60,,"You are not far (~4mi) from the Mission fault that runs along the Mission Mountains. You could feel shaking in the future since small earthquakes have happened near here in 2011, 2000, and 1997."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,15,60,,"You are not far (~4mi) from the Jocko fault that runs from Big Knife creek to Finley Creek. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,14,20,,"You are a fair distance, farther than 5 miles, from the nearest active fault. This means that if an earthquake happens you will feel less shaking than those closer to the fault. "
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,13,60,,"You are not far (~4mi) from the Bitterroot fault. Scientists think this fault slips without creating ground shaking, but since the earthquake record is short, you could feel an earthquake in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,12,70,,"You are near (~3mi) a fault near Ovando, MT. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,11,70,,You are near (~3mi) the Swan fault that runs along the Swan Range. You could feel shaking in the future since small earthquakes have happened near here in the past.
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,10,70,,You are near (~3mi) the Ninemile fault that runs from Missoula along Ninemile Creek for 43 miles. You could feel shaking in the future since small earthquakes have happened near here in the past.
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,9,70,,"You are near (~3mi) the Mission fault that runs along the Mission Mountains. You could feel shaking in the future since small earthquakes have happened near here in 2011, 2000, and 1997."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,8,70,,"You are near (~3mi) the Mission fault that runs along the Mission Mountains. You could feel shaking in the future since small earthquakes have happened near here in 2011, 2000, and 1997."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,7,70,,"You are near (~3mi) the Jocko fault that runs from Big Knife creek to Finley Creek. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,6,20,,"You are a fair distance, farther than 5 miles, from the nearest active fault. This means that if an earthquake happens you will feel less shaking than those closer to the fault. "
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,5,70,,"You are near (~3mi) the Bitterroot fault. Scientists think this fault slips without creating ground shaking, but since the earthquake record is short, you could feel an earthquake in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,4,90,,"You are very close (~1mi) to the Bitterroot fault. Scientists think this fault slips without creating ground shaking, but since the earthquake record is short, you could feel an earthquake in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,3,90,,"You are very close (~1mi) to a fault near Ovando, MT. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future."
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,2,90,,You are very close (~1mi) to the Swan fault that runs along the Swan Range. You could feel shaking in the future since small earthquakes have happened near here in the past.
What to Expect,Intensity,EQ_Fault_Buffer,Earthquake,1,90,,You are very close (~1mi) to the Ninemile fault that runs from Missoula along Ninemile Creek for 43 miles. You could feel shaking in the future since small earthquakes have happened near here in the past.
,,,,,,,
What to Expect,Intensity,Flood_FEMA_DFRIM_2015,Flooding,A,70,,"There is a high chance of flooding here. Probably once in the next ten years. To check flood stage on the Clark Fork, Bitterroot, and Blackfoot Rivers go to the <a href=http://water.weather.gov/ahps2/index.php?wfo=mso target=_blank>NWS page</a> for Missoula County."
What to Expect,Intensity,Flood_FEMA_DFRIM_2015,Flooding,AE,70,,"There is a high chance of flooding here. Probably once in the next ten years. To check flood stage on the Clark Fork, Bitterroot, and Blackfoot Rivers go to the <a href=http://water.weather.gov/ahps2/index.php?wfo=mso target=_blank>NWS page</a> for Missoula County."
What to Expect,Intensity,Flood_FEMA_DFRIM_2015,Flooding,AE FLOODWAY,90,,"There is a high chance of flooding here. Probably once in the next ten years. To check flood stage on the Clark Fork, Bitterroot, and Blackfoot Rivers go to the <a href=http://water.weather.gov/ahps2/index.php?wfo=mso target=_blank>NWS page</a> for Missoula County."
What to Expect,Intensity,Flood_FEMA_DFRIM_2015,Flooding,AH,70,,"There is a high chance of flooding here with water pooling between 1 and 3 feet deep. Probably once in the next ten years. To check flood stage on the Clark Fork, Bitterroot, and Blackfoot Rivers go to the <a href=http://water.weather.gov/ahps2/index.php?wfo=mso target=_blank>NWS page</a> for Missoula County."
What to Expect,Intensity,Flood_FEMA_DFRIM_2015,Flooding,AO,70,,"There is a high chance of flooding here with shallow waters reaching depths between 0 and 3 feet. Probably once in the next ten years. To check flood stage on the Clark Fork, Bitterroot, and Blackfoot Rivers go to the <a href=http://water.weather.gov/ahps2/index.php?wfo=mso target=_blank>NWS page</a> for Missoula County."
What to Expect,Intensity,Flood_FEMA_DFRIM_2015,Flooding,AREA NOT INCLUDED,0,,"This area was not included in the latest floodplain map so no flood information is available. If you have questions, get in touch with your county floodplain administrator, Todd Klietz at tklietz@co.missoula.mt.us."
What to Expect,Intensity,Flood_FEMA_DFRIM_2015,Flooding,D,0,,"This area hasn't been mapped in the latest floodplain map so no flood information is available. If you have questions, get in touch with your county floodplain administrator, Todd Klietz at tklietz@co.missoula.mt.us."
What to Expect,Intensity,Flood_FEMA_DFRIM_2015,Flooding,SHADED X,80,,"There is a moderate chance of flooding here. Probably once in the next 50 years. To check flood stage on the Clark Fork, Bitterroot, and Blackfoot Rivers go to the <a href=http://water.weather.gov/ahps2/index.php?wfo=mso target=_blank>NWS page</a> for Missoula County."
What to Expect,Intensity,Flood_FEMA_DFRIM_2015,Flooding,X,20,,"This is outside the high-risk flood areas. BUT if you live near a creek or small river be aware that it could flood too. If you have questions, talk to your local floodplain administrator, Todd Kleitz at tklietz@co.mt.us."
What to Expect,Intensity,Flood_FEMA_DFRIM_2015,Flooding,X PROTECTED BY LEVEE,20,,"This area is protected by a levee, which should withstand most floods. BUT if there's a very large flood you could be in danger. To check up on the Clark Fork, Bitterroot, and Blackfoot Rivers go to the <a href=http://water.weather.gov/ahps2/index.php?wfo=mso target=_blank>NWS page</a> for Missoula County."
,,,,,,,
What to Expect,Flood Zones,Flood_Channel_Migration_Zones,Flooding,AHZ,80,,"Like most things, rivers follow the path of least resistance, changing course over time. They tend to change most during and after floods. In the next 100 years the Clark Fork could run right through here."
What to Expect,Flood Zones,Flood_Channel_Migration_Zones,Flooding,HMZ,90,,"Like most things, rivers follow the path of least resistance, changing course over time. The Clark Fork flowed here historically and could again, especially if a big flood happens."
What to Expect,Flood Zones,Flood_Channel_Migration_Zones,Flooding,All75,60,,"Like most things, rivers follow the path of least resistance, changing course over time. They tend to change most during and after floods. In the next 100 years the Clark Fork could start to erode the riverbank here."
What to Expect,Flood Zones,Flood_Channel_Migration_Zones,Flooding,All2,50,,"Like most things, rivers follow the path of least resistance, changing course over time. They tend to change most during and after floods. In the next 100 years the Clark Fork could start to erode the riverbank here."
What to Expect,Flood Zones,Flood_Channel_Migration_Zones,Flooding,Null,20,,Did you know that rivers across Missoula County are constantly readjusting and changing? They tend to change most during and after floods. If you live near a river be aware. Check out this <a href=//9gag.com/gag/aLQ1Wgg target=_blank>video</a> to see just how much rivers move.
,,,,,,,
What to Expect,Worst Case Scenario,Flood_Worst_Case,Flooding,1,10,,"Rain, snowmelt, or both could cause waters to rise rapidly overtopping riverbanks, flooding roadways, and impacting neighborhoods. This area is outside of the main areas impacted, but you could see water on roadways and road closures. Bridges may be unusable. This could last days to weeks."
What to Expect,Worst Case Scenario,Flood_Worst_Case,Flooding,2,10,,"Rain, snowmelt, or both could cause waters to rise rapidly overtopping riverbanks, flooding roadways, and impacting neighborhoods. This may cause lake levels to increase if lakes are stream-fed. Bridges and road access may be compromised. This could last days to weeks."
What to Expect,Worst Case Scenario,Flood_Worst_Case,Flooding,3,50,,"Rain, snowmelt, or both could cause waters to rise rapidly overtopping riverbanks, flooding roadways, and impacting neighborhoods. You are within 250 feet of a river and will see the impacts of flooding. Bridges and road access may be compromised. This could last days to weeks."
What to Expect,Worst Case Scenario,Flood_Worst_Case,Flooding,4,90,,"Rain, snowmelt, or both could cause waters to rise rapidly overtopping riverbanks, flooding roadways, and impacting neighborhoods. The levees that protect this area stop working.  Debris-filled floodwaters will rush into basements and across roads.  You may need to evacuate. This could last days to weeks."
What to Expect,Worst Case Scenario,Flood_Worst_Case,Flooding,5,70,,"Rain, snowmelt, or both could cause waters to rise rapidly overtopping riverbanks, flooding roadways, and impacting neighborhoods. This area is within 500 feet of mapped flood zones and debris-filled floodwaters could rush into basements nearby. You may need to evacuate. This could last days to weeks."
What to Expect,Worst Case Scenario,Flood_Worst_Case,Flooding,6,90,,"Rain, snowmelt, or both could cause waters to rise rapidly overtopping riverbanks, flooding roadways, and impacting neighborhoods. Debris-filled could floodwaters rush into this area. Get sandbags to protect your home and evacuate. Do not try to drive through submerged areas. This could last days to weeks."
,,,,,,,
What to Expect,Intensity,Fire_Burn_Probability2,Wildfire,1,0,,The burn potential here is zero. This means you probably won't see a wildfire start here in the next year. Check other areas nearby too!
What to Expect,Intensity,Fire_Burn_Probability2,Wildfire,2,10,,"The burn potential here is low, about 1 burn in 200 simulations. This is lower than most of the region and means you probably won't see a wildfire start here in the next year. Check other areas nearby too!"
What to Expect,Intensity,Fire_Burn_Probability2,Wildfire,3,20,,"The burn potential here is low, about 1 burn in 100 simulations. This is lower than most of the region and means you probably won't see a wildfire start here in the next year. Check other areas nearby too!"
What to Expect,Intensity,Fire_Burn_Probability2,Wildfire,4,40,,"The burn potential here is moderate, about 1 burn in 65 simulations. This means you probably won't see a wildfire start here in the next year, but given the right conditions, it could happen."
What to Expect,Intensity,Fire_Burn_Probability2,Wildfire,5,60,,"The burn potential here is moderate, about 1 burn in 50 simulations. This is higher than most of the region and means you could see a wildfire start here in the next year if the conditions are right. Take steps to prevent fire near your home."
What to Expect,Intensity,Fire_Burn_Probability2,Wildfire,6,70,,"The burn potential here is high, about 1 burn in 40 simulations. This is higher than most of the region and means you could see a wildfire start here in the next year if the conditions are right. Take steps to prevent fire near your home."
What to Expect,Intensity,Fire_Burn_Probability2,Wildfire,7,90,,"The burn potential here is very high, about 1 burn in 30 simulations. This is highest in the region and means you could see a wildfire start here in the next year if the conditions are right. Take steps to prevent fire near your home."
,,,,,,,
What to Expect,Worst Case Scenario,Fire_Worst_Case_ph2,Wildfire,1,20,,"You are in town and more than a half a mile from the edge of town so it's unlikely you will see wildfire here. If you live close to a wooded area or field that could burn, be aware that fires can happen in town as well."
What to Expect,Worst Case Scenario,Fire_Worst_Case_ph2,Wildfire,2,50,,You are within half a mile of the edge of town. If a wildfire approaches city limits you could be at risk of a fire reaching your home. There will be limited evacuation time so be prepared.
What to Expect,Worst Case Scenario,Fire_Worst_Case_ph2,Wildfire,3,90,,"You could experience a catastrophic wildfire here like the Great Fire of 1910, which burned about three million acres. It will be fast moving, with large flames, and may change direction quickly. It could take firefighters days to weeks to contain it. Fires of this size and intensity usually cause property damage and sometimes cause fatalities."
,,,,,,,
What to Expect,Intensity,Landslide_placeholder2,Landslide,1,33,,"There is lower chance for a landslide here given the slope, land type, and soil. If you live beneath a slope or drainage (where water concentrates) check points uphill to see if they have a higher chance for sliding. "
What to Expect,Intensity,Landslide_placeholder2,Landslide,2,66,,"There is moderate chance for a landslide here given the slope, land type, and soil. If you live beneath a slope or drainage (where water concentrates) check points uphill to see if they have a higher chance for sliding. "
What to Expect,Intensity,Landslide_placeholder2,Landslide,3,100,,"There is higher chance for a landslide here given the slope, land type, and soil. If you live beneath a slope or drainage (where water concentrates) you could be at risk."
What to Expect,Intensity,Landslide_placeholder2,Landslide,4,33,,There is lower chance for a landslide here given the slope and land type. If you live beneath a slope or drainage (where water concentrates) check points uphill to see if they have a higher chance for sliding.
What to Expect,Intensity,Landslide_placeholder2,Landslide,5,66,,There is moderate chance for a landslide here given the slope and land type. If you live beneath a slope or drainage (where water concentrates) check points uphill to see if they have a higher chance for sliding.
What to Expect,Intensity,Landslide_placeholder2,Landslide,6,100,,There is higher chance for a landslide here given the slope and type. If you live beneath a slope or drainage (where water concentrates) you could be at risk.
,,,,,,,
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,1,,,This location does not have a record of wildfire between 1889 and 2013. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,2,,,"In 1889, 2770 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,3,,,"In 1889, 62 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,4,,,"In 1889, 2700 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,5,,,"In 1889, 1685 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,6,,,"In 1889, 105 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,7,,,"In 1910, 5647 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,8,,,"In 1910, 1892 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,9,,,"In 1910, 2866 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,10,,,"In 1910, 1240 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,11,,,"In 1910, 988 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here. "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,12,,,"In 1910, 954 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here. "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,13,,,"In 1910, 119 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here. "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,14,,,"In 1910, 100 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,15,,,"In 1910, 75 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,16,,,"In 1910, 1471 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,17,,,"In 1910, 200 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here. "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,18,,,"In 1910, 994 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here. "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,19,,,"In 1910, 21 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,20,,,"In 1910, 32 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,21,,,"In 1910, 15 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,22,,,"In 1910, 25 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,23,,,"In 1910, 1084 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,24,,,"In 1910, 2892 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,25,,,"In 1910, 69 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,26,,,"In 1910, 1690 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,27,,,"In 1910, 48 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,28,,,"In 1910, 71 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,29,,,"In 1910, 56 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,30,,,"In 1911, 60 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,31,,,"In 1912, 3262 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,32,,,"In 1913, 59 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here.  "
Past Events,Historic Events,Fire_Hist_Bound2,Wildfire,33,,,"In 1913, 241 acres burned in this location. Wildfires are a natural part of the Montana landscape and continue to be the most common natural hazard that people face living here. "
